class,count,capital,ave_cap
製版,314,18475872230.0,58840357.420382164
製網,30,2286254730.0,76208491.0
製鞋機製造,73,2231594190.0,30569783.424657535
複合支援服務,478,5262675025.0,11009780.387029288
襪類製造,209,1221004000.0,5842124.401913876
西藥批發,1193,42273808635.0,35434877.31349539
西藥零售,1676,15888022795.0,9479727.204653937
西點麵包批發,180,1722432690.0,9569070.5
西點麵包零售,1394,4544830278.0,3260279.969870875
視唱中心（ＫＴＶ）,408,6587111000.0,16144879.901960785
視聽中心,88,177210000.0,2013750.0
視聽設備批發,385,2134578490.0,5544359.714285715
視聽設備零售,326,1999187000.0,6132475.4601227
視聽電子產品維修,82,145102000.0,1769536.5853658537
視覺傳達與平面設計,288,299058000.0,1038395.8333333334
觀光旅館,297,112958992299.0,380333307.4040404
觀賞水族繁殖,29,80440000.0,2773793.103448276
觸控面板製造,2,317275910.0,158637955.0
計程車客運,2391,9047436540.0,3783955.0564617314
計程車派遣、聯繫服務,664,4106966250.0,6185190.135542168
計量及計數器製造,58,2280088000.0,39311862.06896552
記帳士、記帳及報稅代理業務人事務服務,2,3600000.0,1800000.0
記憶體模組製造,19,2832086880.0,149057204.21052632
記憶體製造,7,78295709279.0,11185101325.571428
課業輔導及補習教學,143,1450094300.0,10140519.58041958
調味料零售,80,219894000.0,2748675.0
調味料（辛、香料除外）批發,328,9226575888.0,28129804.536585364
調味醬製造,19,233600000.0,12294736.842105264
調理包食品零售,250,977349999.0,3909399.996
調理飲料攤販,75,60976999.0,813026.6533333333
證券商,71,315009549690.0,4436754220.985915
證券投資顧問,1036,69969962382.0,67538573.72779922
證券輔助,11,34957724523.0,3177974956.6363635
證券金融,15,4385819264.0,292387950.93333334
護理之家機構,5,45000100.0,9000020.0
讀卡機製造,9,3251635750.0,361292861.1111111
豆漿製造,17,196880000.0,11581176.470588235
豆腐乳、豆豉製造,8,25700000.0,3212500.0
豆腐批發,30,65000000.0,2166666.6666666665
豆腐（乾、皮）製造,99,1348517148.0,13621385.333333334
豆類、麥類及其他雜糧批發,487,14034671676.0,28818627.671457905
